company,position,q,a
금융결제원,신입 백엔드개발자,"Q1. 금융결제원 지원 동기(금융결제원이 본인을 채용해야 하는 이유) ※ 작성 내용에 본인의 성명, 출생지, 성장지, 출신 학교(동아리명, 대회명, 교수명 등), 가족관계 등 인적 사항을 확인할 수 있는 사항이나 허위사실이 포함될 경우 불이익이 있습니다. (예시 : 일체의 인명 작성 금지(위인, 유명인, 작가 등 포함) / 구체적 동아리명 → OO 관련 동아리 / 구체적 회사, 부서명 -> ○○회사에서 ○○업무를 할 당시 / 지원자가 특정되는 논문 제목, 대회 및 링크 언급 금지 / 미국 학창 시절, 프랑스 교환학생 -> 해외 학창 시절, 외국 교환학생) 보기","""최고가 되기 위해서"" 금융결제원은 국내 다양한 금융 관련 서비스를 지원하는 최고의 기업입니다. 이런 여러 서비스 운영에 있어 중요한 것은 사용자에게 적절한 UI의 표출, 그리고 효율적인 데이터 처리를 통한 빠른 속도 제공입니다. 저는 이를 배우기 위해 매일 진행 중인 알고리즘 풀이 외에도 기존에 공부했던 JSP에 대해 조금 더 파악하고, spring에 활용하기 전에 배우기 위해 관련 학원에 다니며 공부하였고, 여러 예제를 사용한 Spring 프로젝트를 진행했습니다. 그리고 JPA를 사용하는 여러 방식과 주의점, querydsl 등 많은 부분에의 공부를 해 보았습니다. 백엔드 이외에도 front-end에 활용되는 javascript의 기능 활용을 더 잘 알기 위해, vanilla JS를 사용하여 조금씩 난도를 높여가며 프로젝트를 진행 중입니다. 그렇게 실력을 쌓아 가던 중 운이 좋게도 그동안 제가 공부하였고 앞으로의 진로로 결정하게 된 java spring이 기반이 되는 전산직 사무원을 채용한다는 소식을 들었고, 최고의 기업에서 가장 좋아하는 공부를 할 수 있을 것이라는 기대감을 품고 지원하게 되었습니다. 글자수 588 자 947 Byte"
금융결제원,신입 백엔드개발자,Q2. 금융결제원이 제공하는 서비스를 이용해 본 경험과 느낀 점을 기술하시오. 보기,"금융결제원이 제공하는 서비스는 매우 다양하며, 저는 개인적으로 금융공동망과 인터넷지로 서비스를 이용해 본 경험이 있습니다. 금융공동망은 금융기관 간의 자금 이체를 실시간으로 처리하는 시스템으로, 이를 이용하면 다른 은행 계좌로 송금을 하거나 대출금을 상환하는 등의 업무를 편리하게 처리할 수 있습니다. 또한, 금융공동망은 보안성이 매우 높아 안전하게 이용할 수 있습니다. 인터넷지로 서비스는 지로 요금 납부 및 조회 서비스를 제공하는 것으로, 이를 이용하면 지로 요금을 간편하게 납부할 수 있습니다. 또한, 인터넷지로 서비스를 이용하면 납부 내역을 쉽게 조회할 수 있어 편리합니다. 금융결제원이 제공하는 서비스를 이용하면서 느낀 점은, 이들이 매우 편리하고 안전하다는 것입니다. 또한, 금융결제원은 고객들의 편의를 위해 다양한 서비스를 제공하고 있으며, 고객들의 요구에 적극적으로 대응하고 있습니다. 금융결제원이 제공하는 서비스는 금융산업의 발전에 큰 역할을 하고 있으며, 앞으로도 더욱 발전할 것으로 기대됩니다. 그렇기 때문에 이곳에서 개발자로 일하며 다양한 사람을 위한 서비스를 만들 때에 저의 경험과 지식이 도움이 될 수 있을 것이라 생각합니다. 글자수 600 자 1,037 Byte"
금융결제원,신입 백엔드개발자,Q3. 채용공고 상의 수행 직무 및 본인이 희망하는 관심 직무와 관련하여 전문가가 되기 위한 노력(프로젝트 경험 등)을 구체적으로 기술하시오.(프로그램 개발 언어 사용 능력 등 기술적 설명 포함) 보기,"""노력의 발자취"" 개인 프로젝트 중 기억에 남는 것은 member의 id를 통해 이름을 가져오기 위한 fetch join을 사용해 여러 값들을 한꺼번에 가져오는 것이었습니다. 제가 해당 프로젝트에서 진행한 내용은 다음과 같습니다. 1. Entity를 통해 가져온 값을 DTO로 변환하고 mapstruct 사용 Entity를 DTO로 mapstruct를 사용하여 변경하고 이를 노출하려 했습니다. 그리고 mapstruct에서의 변환에서 기존의 Page로는 해당 방법이 불가능하다 생각하였습니다. 그렇게 기존의 Page 형식을 List 형식으로 변환하고 mapstruct를 사용했습니다. 2. List를 사용한 방식 사용 시 카운트 방식 Page를 사용하면, JPA에서 TotalCount를 진행해 줍니다. 당시에 이 totalcount를 통해 바로 최대 결과를 가져오는 것이 성능에의 불이익을 줄 수도 있다는 것을 간과하여 Page를 사용하는 것이 더 효율적일 것이라 생각하였습니다. 3. 결과 최종적으로 해당 문제를 해결하였고, 현재는 이보다 훨씬 정규화되고 효율적인 방법을 사용하는 더 빠른 방법을 도입하고 있습니다. 앞으로도 노력을 통해 더욱 발전하겠습니다. 글자수 618 자 952 Byte"
금융결제원,신입 백엔드개발자,"Q4. 조직(예 : 학교, 동아리, 가족 등)의 구성원으로서 갈등이 있었던 상황을 설명하고, 원인, 대처방안, 현재 시점에서의 판단을 구체적으로 기술하시오. 보기","""융합이란, IoT란"" 4차 산업혁명이 도래하며 세계는 빠르게 발전하고 있습니다. 그중 가장 눈에 띄는 것은 바로 기기와 인터넷의 연결, IoT입니다. 저는 백엔드 개발자임과 동시에 전자공학과의 학생으로서 기존의 것에 새로운 아이디어를 합쳐 더 발전된 것을 만들 수 있는 방법을 모색했습니다. 마침 대학교 4학년이 신청할 수 있는 OOO 프로젝트를 진행하였고, 제가 만든 아이디어를 바탕으로 저는 팀장이 되어 저를 포함한 4인의 학생과 1인의 현업 개발자를 모집하였습니다. 처음 프로젝트를 진행할 때에는 아직 아이디어가 구체화되지 않고, 서로의 생각이 정리되지 않아 진행에 어려움이 있었습니다. 이를 해결하기 위해 저희는 매주 1회 정기 세션으로 브레인스토밍과 에자일 회의를 진행하며 의견과 상황을 교환하였습니다. 이 결과, 저희는 서로의 상황을 잘 이해하고 도움을 주는 법을 알았고, 특허를 출원하는 등의 성과 외에도 새로운 아이디어를 생각해 내고, 이를 구현하기 위해 노력하는 방법을 배웠습니다. 저는 이 경험을 토대로 언제나 새로운 방법을 생각하고, 이를 구현할 수 있는 사람이 될 수 있었다 생각합니다. 글자수 583 자 982 Byte"
금융결제원,신입 백엔드개발자,"Q5. 자신의 가치관 또는 인생관에 영향을 미친 경험을 소개하고, 이를 통해 배우거나 느낀 점을 구체적으로 기술하시오. 보기","""앞서, 소통하며"" 저는 지금까지 친구들과 버스킹을 하거나, 농구 대회를 나가고, OOO을 통해 프로젝트를 하는 등 다양한 사람들과 많은 활동을 하였습니다. 그중, 고등학생 나이대의 근처 취약계층 어린이에게 피아노를 가르쳐 주는 봉사활동을 했던 적이 있습니다. 음악을 제대로 배운 적이 없는 아이에게 한 가지의 곡을 완성시키는 것을 도와주는 것이었는데, 배우는 아이도 저도 어렸을 때였기 때문에 처음부터 쉽게 되지는 않았습니다. 저는 단순히 아이에게 음악을 가르쳐서 곡을 완성시키려고 했기 때문에 그 학생과의 소통을 중요시하지 않았고, 그 결과로 학생이 약속에 늦거나 오지 않는 일이 많았습니다. 그와 관련해 주변 어른들에게 상담하였더니, 그 아이와 비슷한 나이대의 사람으로서, 그리고 공감을 해 줄 수 있는 선생으로서 도움을 주는 것이 선행되어야 한다는 것을 깨달을 수 있었습니다. 이후 그 아이와 봉사시간 이후로도 자주 만나며 관계를 쌓았고, 완성하고자 했던 곡을 다 가르칠 수 있었으며, 최근에도 연락을 계속하는 좋은 친구로 남을 수 있었습니다. 이를 통해 저는 누군가와 함께할 때에 먼저 소통을 통해 서로 알아가는 것이 중요하다는 것을 깨닫게 되었습니다. 글자수 611 자 1,039 Byte"
금융결제원,신입 백엔드개발자,"Q6. (선택) 빅데이터 관련 역량을 개발하기 위해 수행한 노력을 본인의 경험 및 경력을 기반으로 기술하시오. (빅데이터 관련 직무 또는 학습경험이 있는 자에 한하며, 면접 시 참고 예정) 보기","""GraphDB"" 회사를 재직하며 여러 고객을 위해 맞춤형 정보를 제공하는 프로젝트를 신입으로 참가하여 관련 DB 공부를 해 보았습니다 해당 DB는 NoSql의 일종인 GraphDB로서 neo4j를 사용하였습니다. 이를 통해 기존 RDB에 비해 여러 연관된 데이터를 찾아갈 때 장점을 가지는 GraphDB의 특성과 활용법 등에 대해 알 수 있었습니다. 해당 내용은 제가 개인적으로 원서를 통해 공부하고, 회사의 데이터를 통해 익힌 후 블로그에 게시해 보았습니다. 그 덕분에 다양한 데이터를 안전하게 보관할 수 있는 RDB 외에도 여러 가지 방법을 사용하여 데이터를 처리할 수 있다는 것을 알았습니다. 금융결제원은 다양한 고객의 정보와 관련 데이터를 보관하고, 이를 잘 활용할 수 있도록 해줍니다. 그렇기 때문에 이 데이터 간의 관계와 활용을 고려하여 빅데이터를 사용할 것입니다. 그때에 저의 RDB에의 경험 외에 GraphDB를 배워 온 경험은 큰 도움이 될 수 있을 것이라 생각합니다. 글자수 516 자 832 Byte"
(주)가비아,신입 백엔드개발자,Q1. 우리 회사에 지원하는 이유와 해당 직무에 지원하는 이유에 대해 각각 서술하여 주십시오. 보기,"""최고가 되기 위해서"" 현재 IT 산업은 이전에 비해 눈부시게 발전하고 있습니다. 또, 하드웨어와 소프트웨어 기술을 융합하여 기존보다 발전된 생활을 누릴 수 있게 해 주고 있습니다. 저는 전자공학도로서 이전에 스마트폰과 도어락을 연결하여 기존보다 편의성과 보안성을 향상시킨 기술을 고안하여 여러 학생들, 그리고 멘토와 함께 프로젝트를 진행했던 적이 있었습니다. 그때에 새로운 기술들을 적용하고 원래 있던 기술들을 더하여 이전보다 발전되고 편리한 방법을 찾아 나간다는 것이 얼마나 재미있고 보람 있는 일인지 느꼈습니다. 그리고 이 활동을 통해 저는 앞으로의 커리어에 대한 목표를 세울 수 있게 되었습니다. 백엔드를 사용하며 구현한 API는 ICT와 APP 모든 곳에서 활용될 수 있는 것이었고, 때문에 가장 기초적이고 중요한 분야라고 생각하였습니다. 그렇기에 저는 최고의 백엔드 개발자가 되어 효율적이고 효과적인 프로그램을 만들고 싶어졌습니다. 가비아는 Iaas와 SaaS를 넘어 다양한 솔루션을 자체 개발하고 있고, 여러 기술 스텍을 사용하고 있는 회사입니다. 또, 신규 직원의 책상 위에 새싹을 두어 다른 직원분들의 도움을 받을 수 있도록 해 주거나 고심하여 영어 이름을 만들고 이를 불러주며 수평적인 분위기를 가지고 있는 등 회사 자체가 밝은 분위기를 갖고 직원들 간에 좋은 관계를 갖고 있는 것을 보았습니다. 이를 보며 가비아에 함께한다면 저 또한 많은 분들에게 배우고 함께 어울려서 발전할 수 있을 것이라 생각하였습니다. 그리고 운이 좋게도 그동안 제가 공부하였고 앞으로의 진로로 결정하게 된 java spring을 통해 회사의 플랫폼과 솔루션을 담당하는 직원을 채용한다는 소식을 들었고, 최고의 기업에서 가장 좋아하는 공부를 할 수 있을 것이라는 기대감을 품고 지원하게 되었습니다. 이전까지 좁은 식견을 갖고 있던 저에게 다양한 개발 / 협업 방법을 알려 주었던 멘토님처럼, 가비아에서 많은 것들을 배우고 이를 다른 사람에게 배풀 수 있는 사람이 되고 싶습니다. 글자수 1,017 자 1,718 Byte"
(주)가비아,신입 백엔드개발자,Q2. 백엔드 개발자로서 역량 향상을 위해 어떤 노력을 했고 가장 중요시하는 부분이 무엇인지와 그 이유를 서술하여 주십시오. 보기,"""All For One"" 저는 java 개발자가 되기 위해서 자바 언어를 가장 처음으로 공부하였고, 지금도 매일 알고리즘 풀이를 병행하며 컴퓨터 사고를 기르기 위해 노력하고 있습니다. 기존에 공부했던 JSP에 대해 조금 더 파악하고, spring에 활용하기 전에 배우기 위해 IT OO 학원에 다니며 공부하였고, 여러 예제를 사용한 Spring 프로젝트를 진행했습니다. 백엔드 이외에도 front-end에 활용되는 javascript의 기능 활용을 더 잘 알기 위해, 또 JQuery보다는 document에서의 element 활용이나 변수의 사용법을 확실히 알기 위해 vanilla JS를 사용하여 조금씩 난도를 높여가며 프로젝트를 진행 중입니다. 백엔드의 데이터 활용에 필수적인 DB 사용법을 알기 위해, 프로그래머스라는 사이트에서 MySql을 사용하여 모든 문제를 해결하였고, OOOOOO사이트에 존재하는 MS-Sql 프로시저와 쿼리로 이루어진 다양한 데이터들을 가공하고, 편집하여 보았습니다. 현재는 OOOOOOOOOOOO 회사에 재직하며 Oracle을 사용중이며, 여러 Toy Project를 MySql, MS-SQL, Oracle 모든 DB를 사용하여 시도해 보았습니다. 또한 현재 자바 이외에도 여러 분야에서 다양한 언어가 사용되고 있으며 이와 java의 차이점을 알고, 장단점을 파악해 적절하게 사용하기 위하여 kotlin을 통한 애플리케이션 제작, C언어를 사용한 리눅스 보드 제어, C++ 언어로 디지털 필터 구현, PHP 웹 게시판 제작 등 많은 활동을 하였습니다. 이러한 경험들 덕분에 저는 각각의 언어에 장단점이 명확히 존재하며, 사용자 또한 명확한 목적을 갖고 언어를 사용한다면 더욱 효율적인 언어의 사용이 가능하다는 것을 알았습니다. 그리고 back-end와 front-end 간의 기능 부여와 통신을 공부하였습니다. ajax를 사용하여 페이징과 글 순서 변경, 강의 전달 등을 구현하였으며, 이 과정에서 보안 취약 문제 해결 방안들과 속도 개선 등에 대해 알 수 있었습니다. 개인적으로는 현재 스프링 부트를 사용하는 웹 페이지 제작법을 공부하고 있는데, 해당 프로젝트는 spring security를 이용한 여러 보안 처리, JPA의 N+1문제 해결 방법, MVC 패턴의 효율적 사용이나 클린 코드 작성 등 제가 가진 지식을 최대한 활용하고 더디더라도 많은 것을 알 수 있도록 공부하고 있습니다. 또 알고리즘 풀이 방법이나 개인적으로 공부한 내용들은 영상으로, 블로그에 글로 작성해 두었습니다. 이렇게 다양한 공부를 통해 저는 여러 언어나 DB에 대한 기초적인 지식을 쌓을 수 있었고, 이는 자바 개발자로서 발전할 수 있는 밑거름이 되었습니다. 그리고 이러한 여러 활동들과 그것을 통한 배움, 많은 사람과의 소통을 통해 저는 새로운 곳에 적응하고 새로운 것을 배울 때에 잘 해낼 수 있다는 자신감을 갖게 되었습니다. 저에게 있어 백엔드 개발에 중요한 것은 이해하기 쉬운 코드의 작성과, 효율적인 코드의 작성입니다.. 먼저 웹의 유지 보수를 진행하거나 개인적으로 진행하는 프로젝트의 리펙터링 과정에 있어 자신이 작성했던, 혹은 이전에 작성되어 있던 코드를 이해하는 데에 있어 어떤 파라미터가 사용되었고 return되는지, 또 어떠한 용도를 위해 코드를 작성했는지를 아는 것은 큰 메리트를 가질 수 있습니다. 그리고 다양한 사용자가 이용할 수 있는 프로젝트에 있어 효율적인 코드 작성은 필수적입니다. 예를 들어, spring boot의 JPA를 사용하는 경우 깊게 생각하지 않으면 발생할 수 있는 N+1에러나 혹은 여러 상황에서 일어날 수 있는 효율성 저해 요소를 제거하는 것이 다른 팀원과 협업하고, 많은 사람이 사용 가능한 사이트를 제작하는 개발자가 고려해야 하는 것이라 생각합니다. 현재 OOOOOOOOOOOO 회사에서 Digital System Guideline 제작 프로젝트를 진행 중에 있는데, 이러한 경험을 통해 얻은 지식을 활용하여 개발하고 있습니다. 이외에도 개발에 있어 고려해야 할 요소는 굉장히 많고, 이런 공부를 위해 현재 진행하는 프로젝트에서 리펙터링을 진행하거나 새로운 기술을 적용하고 있습니다. 이곳 가비아에서 제가 가진 장점과 지식을 활용할 수 있는 미래를 펼쳐나가겠습니다. 글자수 2,134 자 3,431 Byte"
(주)가비아,신입 백엔드개발자,Q3. 자신이 진행했던 프로젝트를 기술하고 본인이 기여한 부분을 구체적으로 서술하여 주십시오. 보기,"""함께하기 위하여"" ""소통을 통한 발전"" 대학교 4학년 때에 OOO 프로젝트에 지원하여 4인 멘티와 1인 멘토로 IoT도어락 제작을 진행하였습니다. 해당 프로젝트는 기존의 도어락과 스마트폰을 연동하여 보안성과 편의성을 향상시키는 아이디어였고, 제가 발안했던 아이디어였기 때문에 팀장 역할을 담당하였으며 PHP-MySql 서버 전체, java 기반 어플리케이션 전체 개발을 진행했습니다. 제가 맡고 있던 웹 API, 앱과 다른 2인의 학생이 담당하는 아두이노, 1인의 학생이 제작한 도어락은 서로 통신을 통해 연결해야 했지만 완전히 다른 기술을 사용하기 때문에 진행 사항을 간단히 파악할 수 없었습니다. 이를 위해 매주 한 번씩 애자일 회의를 진행하며 서로의 상태의 공유와 문제 발생 이유, 해결 방법을 함께 고민하며 일정을 조율할 수 있었고, 조원 간의 팀워크와 능률도 좋아질 수 있었습니다. 또한 프로젝트를 진행하며 아이디어를 추가하기 위해 브레인스토밍을 통해 여러 아이디어를 도출했고, 이는 기존의 프로젝트를 발전시킬 수 있는 발판이 되었습니다. 덕분에 해당 프로젝트를 특허 출원 외에도 여러 플랫폼 간의 통신 방법이나 서버의 사용법 등을 알 수 있었고 이후 백엔드 개발자가 되고 싶다는 결심을 하게 되었습니다. ""함께 도전하며"" 군대 전역 후, 친구와 2인 프로젝트로 앱 제작을 진행하였습니다. 저는 해외여행을 다니는 것을 좋아하고 여러 국가를 여행해 보았습니다. 그리고 그때마다 한국과 해당 나라의 기온이나 습도에 따라 입을 옷을 매번 고민하게 되었고, 이러한 고민을 해결할 수 있는 방법을 찾아보려 했습니다. 그러던 중 생각했던 것이, 이러한 날씨/온도/바람의 세기 등을 통해 입어야 하는 패션을 추천해 주는 애플리케이션 제작을 하면 재미있을 것이라 생각하여 개발을 전공하고 있는 친구와 상의하여 프로젝트에 착수하였습니다. 해당 프로젝트는 JSP를 통한 서버 제작과 kotlin을 통한 앱 제작이었고, 제가 담당한 부분은 Kotlin을 통한 app 제작이었습니다. 당시 저희 둘은 모두 학생이었고, 아직 실력이 미숙하였기 때문에 원하던 기능을 모두 구현해 내지 못하였지만, 아이디어를 도출해 내고 이를 어떻게든 완료하기 위해 매주 한 번씩 만나며 스터디를 진행하면서 개발에 대한 열정을 얻을 수 있었습니다. 현재 OOO 등의 개발 프로젝트를 진행하는 동아리에 지원하였고, 혹시 기회가 된다면 해당 프로젝트를 제대로 완성시키고 싶습니다. 글자수 1,245 자 2,079 Byte"
(주)가비아,신입 백엔드개발자,Q4. 활발하게 활동하는 외부 개발 커뮤니티가 있다면 서술하여 주십시오. 보기,"""한 걸음 나아가기 위해"" 그동안 여러 프로젝트를 진행해 보았지만, 이는 주로 주변 친구들이나 개인적으로 진행한 것들이었습니다. 그러던 중 OOO 프로젝트 진행 중 멘토님에게 제 코드의 문제점을 지적받거나 개선점을 받으면서 혼자서 진행하는 것의 한계를 깨닫게 되었습니다. 이후 카카오톡 오픈채팅에서 여러 개발자분들과 이야기하며 서로의 코드의 피드백을 진행하고 있고, 실력을 쌓기 위한 공부는 책이나 강의를 통해 진행 중입니다. 또한 여러 개발의 뉴스를 알아보거나 제가 막혀있는 문제의 해결을 위해서 StackOverflow 사이트를 이용 중에 있습니다. 글자수 317 자 533 Byte"
